State,County,Population,% rural,FIPS,% Children in Poverty,% Unemployed,Income Ratio,% Children in Single-Parent Households,Violent Crime Rate,Injury Death Rate,Years of Potential Life Lost Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index,% Homeowners,% Completed High School,% Some College
Texas,Johnson,179575,37.874170167,48251,11.7,6.499379,3.6355189559,21.488997885,186.77953098,62.51982905,7853.0,67382.0,51.723361751,32.287723058,73.267547623,85.764654426,52.290879471
Texas,Jones,19875,85.14998515,48253,21.2,6.98849773,3.7339607843,22.058823529,269.08084999,80.186835326,7944.0,47019.0,61.786508525,31.337350395,78.710591569,78.9782301,37.510632265
Texas,Karnes,15562,38.390447922,48255,22.9,6.27943485,6.0709977257,27.797147385,261.58940397,56.954979677,8496.0,56006.0,66.381766382,23.954551108,73.374340949,75.730550285,39.672466735
Texas,Kaufman,143198,48.817610063,48257,12.7,6.50729227,4.0895375331,23.291615904,234.13741049,67.929027259,8004.0,76352.0,52.933961655,32.868421292,76.649590947,85.815166962,58.127886916
Texas,Kendall,48523,58.159233762,48259,8.6,5.0445238,4.3759417096,11.37092212,108.75879031,49.964717897,4933.0,103216.0,24.493554328,28.786942812,75.995672459,94.053655093,72.148205777
Texas,Kerr,52869,41.102267003,48265,16.5,5.87446848,3.9488675485,23.516260163,237.52266814,89.238523466,9056.0,57425.0,59.463358338,23.266857377,68.432183476,89.319056912,56.919835265
Texas,Kimble,4396,44.302148904,48267,32.7,5.0856827,5.9144457825,13.493064313,101.99456029,95.767967895,10489.0,47894.0,67.294520548,41.756834121,75.648195221,83.725845411,55.864570738
Texas,Kleberg,30338,18.870278532,48273,30.0,8.39426951,6.9218606621,35.853102801,499.53168904,50.992415685,9908.0,51574.0,66.904851448,24.627930477,52.199281867,79.058699101,65.521358451
Texas,Knox,3683,100.0,48275,24.6,5.63961486,4.2685579625,20.469083156,221.38299258,75.610282998,10670.0,46053.0,63.751584284,22.181000109,84.648493544,80.666125102,62.193548387
Texas,Lamar,49905,47.082923302,48277,26.9,6.45765091,5.3740747217,32.084566596,386.24483069,81.97050669,11453.0,44688.0,63.740856844,24.30404305,64.716179045,86.073727326,57.020129706
Texas,Lamb,12710,57.687629677,48279,24.5,5.23500191,4.9717636077,25.201221205,341.47309907,85.829016338,10636.0,48123.0,70.881629786,10.399645156,73.119422014,75.805279729,48.929159802
Texas,Lampasas,21789,68.267520455,48281,18.0,5.36445084,4.0610949392,24.569746377,140.60894489,68.716877053,7429.0,69051.0,55.087906233,22.776134575,79.828710213,89.854975606,60.400843882
Texas,La Salle,7500,46.354923032,48283,28.3,6.7966423,6.1744253804,28.099173554,84.911822338,55.632086468,8071.0,45647.0,89.856169569,27.166754234,73.996265173,64.673807205,16.222322639
Texas,Lavaca,20216,81.316513523,48285,14.5,5.24625268,4.4063050715,15.798354777,153.62530536,69.755159391,6697.0,57999.0,39.453284374,19.40988405,75.569331984,86.194970819,52.672309553
Texas,Lee,17397,69.720683843,48287,15.0,4.93557545,4.5274345689,28.068717096,252.50274782,97.6539794,8870.0,61444.0,61.162444113,20.533913955,80.500081182,82.999418073,40.424481737
Texas,Leon,17493,100.0,48289,17.9,7.79284431,4.7893460211,32.30258114,110.75248402,106.1020194,8687.0,52878.0,52.31511254,27.287089034,78.075179172,81.906222258,45.517241379
Texas,Liberty,91547,63.227264915,48291,20.0,10.6336728,4.7805455051,20.076933164,409.6518276,95.028172376,10210.0,61230.0,72.815932656,29.734481467,78.093883357,78.240273775,41.699425461
Texas,Limestone,23340,53.617858365,48293,19.7,7.1266292,4.6786467171,28.844667697,372.74265761,71.616748088,10801.0,53143.0,73.458586928,27.466004441,74.023154848,83.185349612,47.825324448
Texas,Live Oak,12324,100.0,48297,23.8,7.45605563,5.9690214906,22.783251232,320.07878862,70.576263397,7350.0,54031.0,63.163778647,32.737995137,81.888946549,77.631121917,40.483162518
Texas,Llano,21958,45.179006269,48299,20.3,5.731808,4.5560546509,21.050985299,141.33688061,115.91926784,9434.0,60706.0,62.890825218,42.031961517,77.610452885,86.475768356,48.46287703
Texas,Lubbock,314772,11.335540166,48303,18.4,5.74365523,4.983187067,28.841607565,863.40364668,79.747455576,9357.0,56477.0,59.412400587,32.520422947,55.608186382,87.16648894,67.221114685
Texas,Lynn,6025,56.720202874,48305,19.6,5.4379562,6.1767882792,25.683407502,121.40455734,84.967542399,10898.0,51003.0,54.357366771,12.711115767,69.167803547,78.737113402,64.803312629
Texas,McCulloch,7823,35.325365206,48307,27.1,7.48466258,5.0764131933,31.088082902,47.741242466,82.659118804,9440.0,47617.0,65.370231862,19.157237643,69.819105046,80.359066427,53.548387097
Texas,McLennan,259730,23.351893949,48309,20.7,6.15719544,5.3672716394,31.182587666,422.89142211,62.433423375,8015.0,55148.0,63.947644203,38.418430718,59.231913544,85.418470325,60.969432734
Texas,Madison,14427,67.403395785,48313,21.6,7.19408337,4.5989717224,15.722240419,314.49912441,79.896834964,10714.0,58674.0,71.133259505,29.888527425,76.004756243,81.185907199,42.166813769
Texas,Marion,9960,100.0,48315,31.1,8.21821587,4.5117027501,25.703254275,645.19306541,118.11102436,11547.0,42024.0,71.833202203,37.807449747,77.949283352,86.110736899,45.733265202
Texas,Martin,5816,100.0,48317,17.0,6.08798115,3.4827259948,12.064194798,185.98884067,97.598382655,12141.0,73367.0,52.034883721,3.2578779633,69.802555168,78.901644431,49.124270225
